slug,dob,birthplace,pcs_ranking,grand_tours,classics
adrien-boichis,2ndJanuary 2003,Aix-en-Provence,,,
mattia-cattaneo,25thOctober 1990,Alzano Lombardo,1757,14,17
gianni-moscon,20thApril 1994,Trento,948,11,28
callum-thornley,5thAugust 2003,Edinburgh,,,1
alexander-hajek,19thJuly 2003,Hainburg an der Donau,,,
jarrad-drizners,31stMay 1999,Adelaide,,4,6
jan-tratnik,23rdFebruary 1990,Idrija,1178,11,12
emil-herzog,6thOctober 2004,Simmerberg,,,2
frederik-wandahl,9thMay 2001,Stockholm,,,2
biniam-girmay,2ndApril 2000,Asmara,462,5,11
corbin-strong,30thApril 2000,Invercargill,893,4,7
riley-sheehan,16thJune 2000,Boulder,,1,7
ethan-vernon,26thAugust 2000,Bedford,1409,3,1
lewis-askey,4thMay 2001,Cannock,,3,12
brady-gilmore,14thApril 2001,Kalgoorlie,,,1
alessandro-pinarello,12thJuly 2003,Conegliano,,2,3
marco-frigo,2ndMarch 2000,Bassano del Grappa,,5,3
oded-kogut,14thFebruary 2001,Haifa,,,1
hugo-hofstetter,13thFebruary 1994,Altkirch,1208,4,13
pau-marti-soriano,24thNovember 2004,Moixent,,,1
krists-neilands,18thAugust 1994,Kuldīga,2134,8,14
jan-hirt,21stJanuary 1991,Třebíč,1727,17,5
george-bennett,7thApril 1990,Nelson,1165,17,13
floris-van-tricht,23rdJune 2001,Leuven,,,1
matis-louvel,19thJuly 1999,Mont Saint Aignan,,3,10
moritz-kretschy,12thMay 2002,Annaberg-Buchholz,,,
tom-van-asbroeck,19thApril 1990,Aalst,1324,5,23
itamar-einhorn,20thSeptember 1997,Modi'in,,2,2
pier-andre-cote,24thApril 1997,Gaspé,,1,2
jake-stewart,2ndOctober 1999,Coventry,,6,6
joseph-blackmore,23rdFebruary 2003,Sidcup,,1,2
guillaume-boivin,25thMay 1989,Montreal,,9,18
nadav-raisberg,29thMarch 2001,Dafna,,3,1
ryan-mullen,7thAugust 1994,Birkenhead,,4,21
dion-smith,3rdMarch 1993,Taupaki,,9,12
nick-schultz,13thSeptember 1994,Brisbane,,11,12
rotem-tene,30thMarch 2001,Hod Hasharon,,,
aleksey-lutsenko,7thSeptember 1992,Petropavl,273,15,19
simon-clarke,18thJuly 1986,Melbourne,870,20,33
stephen-williams,9thJune 1996,Aberystwyth,,3,4
cian-uijtdebroeks,28thFebruary 2003,Abolens,,3,2
natnael-tesfatsion,23rdMay 1999,Asmara,1714,3,4
ivan-romeo,16thAugust 2003,Valladolid,,1,4
jon-barrenetxea-golzarri,20thApril 2000,Gamiz-Fika,,2,5
carlos-canal,28thJune 2001,Xinzo de Limia,,4,7
orluis-aular,5thNovember 1996,Nirgua,1685,4,5
raul-garcia-pierna,23rdFebruary 2001,Tres Cantos,,4,5
javier-romo,6thJanuary 1999,Villafranca de los Caballeros,,4,2
nairo-quintana,4thFebruary 1990,Cómbita,72,20,8
lorenzo-milesi,19thMarch 2002,San Giovanni Bianco,,4,7
pablo-castrillo-zapater,2ndJanuary 2001,Jaca,,3,
jefferson-cepeda-hernandez,2ndMarch 1996,El Playón,2195,5,
diego-pescador,21stDecember 2004,Quimbaya,,,1
ivan-garcia-cortina,20thNovember 1995,Gijón,2055,8,25
einer-rubio,22ndFebruary 1998,Chíquiza,,9,3
enric-mas,7thJanuary 1995,Artà,476,15,12
roger-adria,18thApril 1998,Barcelona,,2,6
nelson-oliveira,6thMarch 1989,Anadia,2037,23,19
filip-maciejuk,3rdSeptember 1999,Pulawy,,,9
davide-formolo,25thOctober 1992,Negrar,1104,16,21
michel-hessmann,6thApril 2001,Münster,,2,1
juan-pedro-lopez,31stJuly 1997,Lebrija,,8,3
pavel-novak,3rdDecember 2004,Jindřichův Hradec,,,2
gonzalo-serrano,17thAugust 1994,Madrid,,2,12
manlio-moro,17thMarch 2002,Pordenone,,,6
jorge-arcas,8thJuly 1992,Sabiñánigo,,8,13
albert-torres,26thApril 1990,Ciutadella de Menorca,,6,7
pelayo-sanchez-mayo,27thMarch 2000,Tellego,,4,1
mattias-skjelmose-jensen,26thSeptember 2000,Copenhagen,507,4,7
jonathan-milan,1stOctober 2000,Tolmezzo,418,4,11
giulio-ciccone,20thDecember 1994,Chieti,540,16,14
mads-pedersen,18thDecember 1995,Tølløse,102,11,24
juan-ayuso-pesquera,16thSeptember 2002,Barcelona,374,5,
jakob-soderqvist,31stMay 2003,Sundsvall,,,1
quinn-simmons,8thMay 2001,Durango,1755,4,4
derek-gee,3rdAugust 1997,Ottawa,1745,4,3
toms-skujins,15thJune 1991,Sigulda,1221,9,25
mathias-vacek,12thJune 2002,Beroun,2125,2,8
matteo-sobrero,14thMay 1997,Alba,,7,11
albert-withen-philipsen,3rdSeptember 2006,Holte,,,
andrea-bagioli,23rdMarch 1999,Sondrio,1447,6,12
soren-kragh-andersen,10thAugust 1994,Strib,742,9,26
max-walscheid,13thJune 1993,Neuwied,1087,8,14
tim-torn-teutenberg,19thJune 2002,Mettmann,,1,1
bauke-mollema,26thNovember 1986,Groningen,198,23,29
julien-bernard,17thMarch 1992,Nevers,,11,14
carlos-verona,4thNovember 1992,San Lorenzo de El Escorial,,17,15
amanuel-ghebreigzabhier,17thAugust 1994,Addis Abeba,,10,4
sam-oomen,15thAugust 1995,Tilburg,,9,15
edward-theuns,30thApril 1991,Ghent,895,10,27
tao-geoghegan-hart,30thMarch 1995,London,828,8,9
jacopo-mosca,29thAugust 1993,Savigliano,,7,14
thibau-nys,12thNovember 2002,Bonheiden,1379,1,1
lennard-kamna,9thSeptember 1996,Wedel,1441,7,4
simone-consonni,12thSeptember 1994,Ponte San Pietro,2104,10,8
patrick-konrad,13thOctober 1991,Mödling,1621,12,18
